OrderID,Date,Product,Category,Amount,CustomerID,City
1000,2024-01-19,Rice,Grocery,67659,C463,Hyderabad
1001,2024-02-26,Chair,Furniture,35613,C557,Bangalore
1002,2024-03-11,Magazine,Books,47706,C625,Hyderabad
1003,2024-02-19,Jacket,Clothing,44969,C234,Chennai
1004,2024-03-01,Smartphone,Electronics,99471,C935,Delhi
1005,2024-03-16,Jacket,Clothing,99061,C220,Chennai
1006,2024-03-26,Jeans,Clothing,68675,C413,Hyderabad
1007,2024-03-09,Textbook,Books,52995,C934,Delhi
1008,2024-02-11,Dress,Clothing,69004,C747,Hyderabad
1009,2024-01-06,Jacket,Clothing,34971,C840,Bangalore
1010,2024-03-28,T-Shirt,Clothing,47549,C183,Bangalore
1011,2024-02-02,T-Shirt,Clothing,91295,C224,Bangalore
1012,2024-02-22,Tablet,Electronics,1253,C674,Hyderabad
1013,2024-01-28,Couch,Furniture,85274,C218,Chennai
1014,2024-02-07,Jeans,Clothing,35681,C830,Delhi
1015,2024-01-15,Couch,Furniture,33893,C200,Bangalore
1016,2024-02-26,Jacket,Clothing,85710,C186,Bangalore
1017,2024-01-24,Magazine,Books,69064,C213,Bangalore
1018,2024-02-25,Tablet,Electronics,25510,C854,Mumbai
1019,2024-03-07,Tablet,Electronics,84905,C617,Chennai
1020,2024-02-29,Comics,Books,24560,C734,Chennai
1021,2024-03-23,Smartphone,Electronics,41700,C384,Chennai
1022,2024-02-28,Smartphone,Electronics,82345,C651,Bangalore
1023,2024-03-16,Jeans,Clothing,16818,C829,Bangalore
1024,2024-02-16,Bread,Grocery,26956,C426,Mumbai
1025,2024-01-14,Novel,Books,51044,C663,Hyderabad
1026,2024-03-24,Table,Furniture,3520,C427,Hyderabad
1027,2024-02-18,Monitor,Electronics,73627,C531,Hyderabad
1028,2024-02-28,Tablet,Electronics,9596,C101,Bangalore
1029,2024-03-17,T-Shirt,Clothing,89765,C496,Delhi
